id sensor;temperatura;humedad;ph;precipitacion;nombre;latitud;longitud
4;9;82;6.5;202.9;Sensor E;42.4;-85.3728
1;1;80.3;7;226.7;Sensor B;42.4;-85.3728
2;2;82.3;7.8;264;Sensor C;42.4;-85.3728
4;3.5;80.2;7;242.9;Sensor E;42.4;-85.3728
2;40.1;81.6;7.6;262.7;Sensor C;42.4;-85.3728
1;50.1;83.4;7.1;251.1;Sensor B;42.4;-85.3728
3;80.7;82.6;5.7;271.3;Sensor D;42.4;-85.3728
4;20.3;82.9;5.7;242;Sensor E;42.4;-85.3728
3;24.5;83.5;6.7;230.4;Sensor D;42.4;-85.3728
4;23.2;83;6.3;221.2;Sensor E;42.4;-85.3728
4;26.5;81.4;5.4;264.6;Sensor E;42.4;-85.3728
1;24;81.5;7.5;250.1;Sensor B;42.4;-85.3728
2;26.8;80.9;5.1;284.4;Sensor C;42.4;-85.3728
2;24;82.1;7;185.3;Sensor C;42.4;-85.3728
3;25.7;80.7;6.9;209.6;Sensor D;42.4;-85.3728
4;24.3;80.3;7;231.1;Sensor E;42.4;-85.3728
0;21.6;82.8;6.2;276.7;Sensor A;42.4;-85.3728
1;23.8;80.4;7;206.3;Sensor B;42.4;-85.3728
2;21.9;80.2;6;224.6;Sensor C;42.4;-85.3728
3;23.6;83.6;5.9;291.3;Sensor D;42.4;-85.3728
3;21.3;80.5;6.4;185.5;Sensor D;42.4;-85.3728
1;25.2;83.1;5.1;231.4;Sensor B;42.4;-85.3728
0;21.9;81;6;213.4;Sensor A;42.4;-85.3728
1;21.1;82.7;6.3;233.1;Sensor B;42.4;-85.3728
0;23.5;81.3;7.4;224.1;Sensor A;42.4;-85.3728
1;25.1;80.5;7.8;257;Sensor B;42.4;-85.3728
2;26.4;84;6.3;271.4;Sensor C;42.4;-85.3728
1;24.5;80.5;7.1;260.3;Sensor B;42.4;-85.3728
3;20.8;84.5;6.2;240.1;Sensor D;42.4;-85.3728
3;22.3;80.6;6;198;Sensor D;42.4;-85.3728
1;21.4;84.9;5.8;272.2;Sensor B;42.4;-85.3728
2;22.2;80.3;6.4;200.1;Sensor C;42.4;-85.3728
4;24.5;82.7;6.4;224.7;Sensor E;42.4;-85.3728
4;20.3;81.6;5;270.4;Sensor E;42.4;-85.3728
1;25.7;83.9;6.1;233.1;Sensor B;42.4;-85.3728
2;26.8;82.1;6;193.3;Sensor C;42.4;-85.3728
4;26.8;81.2;6;272.3;Sensor E;42.4;-85.3728
1;23.9;83.2;5.6;285.2;Sensor B;42.4;-85.3728
1;21;83;7.4;298.4;Sensor B;42.4;-85.3728
1;24.2;83.7;5.6;257;Sensor B;42.4;-85.3728
2;22.8;82.1;6.4;248.7;Sensor C;42.4;-85.3728
1;25.6;83.5;5.5;209.9;Sensor B;42.4;-85.3728
4;25.6;80.1;6.9;200.8;Sensor E;42.4;-85.3728
4;23.8;84.8;6.3;298.6;Sensor E;42.4;-85.3728
3;26.3;82.4;7.2;265.5;Sensor D;42.4;-85.3728
2;24.9;80.5;6.1;183.7;Sensor C;42.4;-85.3728
2;25;84.5;5.2;197;Sensor C;42.4;-85.3728
0;23.2;84.6;7.8;233;Sensor A;42.4;-85.3728
1;21.7;80.7;7.1;210.8;Sensor B;42.4;-85.3728
2;24.6;80.4;7.7;253.7;Sensor C;42.4;-85.3728
2;23.4;83.1;5.3;219.9;Sensor C;42.4;-85.3728
2;20;80.3;6.8;208.6;Sensor C;42.4;-85.3728
2;23.9;82.2;7.4;195.1;Sensor C;42.4;-85.3728
4;22;81.9;5.7;227.4;Sensor E;42.4;-85.3728
2;26.2;83.8;5.5;286.5;Sensor C;42.4;-85.3728
3;23.4;84.8;6.2;283.9;Sensor D;42.4;-85.3728
1;25.7;83.5;7.1;217.4;Sensor B;42.4;-85.3728
4;24.4;82.5;6;268;Sensor E;42.4;-85.3728
3;20.3;82.1;7.2;192;Sensor D;42.4;-85.3728
4;21.7;80.2;6.5;278;Sensor E;42.4;-85.3728
4;20.4;82.2;7.6;245.2;Sensor E;42.4;-85.3728
1;25.8;83.5;5.9;245.7;Sensor B;42.4;-85.3728
2;20.6;83.8;6.9;279.5;Sensor C;42.4;-85.3728
0;21.8;80.7;6.9;202.4;Sensor A;42.4;-85.3728
4;20.1;83.3;5.7;263.6;Sensor E;42.4;-85.3728
1;24.5;82.7;6.7;182.6;Sensor B;42.4;-85.3728
2;21.1;80.3;5.6;198.7;Sensor C;42.4;-85.3728
2;25.8;82.1;6.9;243.5;Sensor C;42.4;-85.3728
2;23.6;80.3;5;263.1;Sensor C;42.4;-85.3728
3;23.4;80.6;6.4;269.5;Sensor D;42.4;-85.3728
3;25;83.9;6.9;204.8;Sensor D;42.4;-85.3728
3;22.7;82.2;7.3;260.9;Sensor D;42.4;-85.3728
4;24.9;82.8;6.6;295.6;Sensor E;42.4;-85.3728
1;21.3;83;7.3;192.3;Sensor B;42.4;-85.3728
2;26.3;84.6;7;257.5;Sensor C;42.4;-85.3728
0;22.2;81.9;6.9;278.1;Sensor A;42.4;-85.3728
2;26.7;81.8;7.9;280.4;Sensor C;42.4;-85.3728
0;24.9;82;5;185.9;Sensor A;42.4;-85.3728
2;26.9;81.5;6.1;194.6;Sensor C;42.4;-85.3728
1;22.7;83.7;7.5;200.9;Sensor B;42.4;-85.3728
2;26.1;80.4;5.7;182.9;Sensor C;42.4;-85.3728
3;25.4;82.9;5.8;195.4;Sensor D;42.4;-85.3728
3;26.4;81.1;6.3;223.4;Sensor D;42.4;-85.3728
1;26;85;6;186.8;Sensor B;42.4;-85.3728
0;25.3;80.5;5.5;220.1;Sensor A;42.4;-85.3728
0;22.1;83.5;6.4;231.7;Sensor A;42.4;-85.3728
3;23.3;81.4;5.1;242.3;Sensor D;42.4;-85.3728
0;25.5;81.4;5.9;182.7;Sensor A;42.4;-85.3728
2;23.7;81;5.2;233.7;Sensor C;42.4;-85.3728
2;20.8;84.1;6.5;230.2;Sensor C;42.4;-85.3728
2;26.9;81.9;7.1;290.7;Sensor C;42.4;-85.3728
2;23.8;83.9;7.5;241.2;Sensor C;42.4;-85.3728
3;26.5;80.1;6.2;218.9;Sensor D;42.4;-85.3728
0;26.5;83.9;7.5;248.2;Sensor A;42.4;-85.3728
2;22.7;82.8;6;257;Sensor C;42.4;-85.3728
3;22.7;83.5;6.6;194.3;Sensor D;42.4;-85.3728
1;21.5;82.1;6.5;295.9;Sensor B;42.4;-85.3728
3;21.4;83.3;5.9;287.6;Sensor D;42.4;-85.3728
4;26.5;84.7;7.1;183.6;Sensor E;42.4;-85.3728
3;23.4;83.6;5.3;188.4;Sensor D;42.4;-85.3728
3;31.5;50.7;6.9;78.7;Sensor D;42.4;-85.3728
1;23.2;59.3;6.3;108.7;Sensor B;42.4;-85.3728
1;22.7;59.1;6.8;96.2;Sensor B;42.4;-85.3728
2;29.1;52;6.6;83.1;Sensor C;42.4;-85.3728
2;22.5;60;6.6;102.6;Sensor C;42.4;-85.3728
0;33.9;51.2;6.5;100.9;Sensor A;42.4;-85.3728
3;26.6;57.8;6.9;101.2;Sensor D;42.4;-85.3728
3;29.4;54.5;6.7;147;Sensor D;42.4;-85.3728
2;32.9;53.1;6.4;82.7;Sensor C;42.4;-85.3728
2;26.2;58.4;6.5;114.5;Sensor C;42.4;-85.3728
0;32.8;52.1;6.5;137.3;Sensor A;42.4;-85.3728
1;30.9;54.2;6.3;158.3;Sensor B;42.4;-85.3728
4;32.8;59.8;6.4;135.9;Sensor E;42.4;-85.3728
0;21.6;52.2;6.9;127.9;Sensor A;42.4;-85.3728
1;21.6;58.2;6.6;120.3;Sensor B;42.4;-85.3728
4;24.9;56.6;6.6;157.6;Sensor E;42.4;-85.3728
2;23.4;51.4;6.3;119.4;Sensor C;42.4;-85.3728
0;32.6;53.4;6.4;129.1;Sensor A;42.4;-85.3728
3;33;56.9;6.7;157.8;Sensor D;42.4;-85.3728
4;21.2;50.8;6.9;84.1;Sensor E;42.4;-85.3728
4;32.3;57.8;6.2;107.7;Sensor E;42.4;-85.3728
4;31.9;58.8;6.8;139.4;Sensor E;42.4;-85.3728
0;20.5;52.6;6.4;88.6;Sensor A;42.4;-85.3728
2;30.2;50.1;6.4;159.6;Sensor C;42.4;-85.3728
1;32.8;57;6.1;138.9;Sensor B;42.4;-85.3728
2;28.6;56.6;6.5;136.3;Sensor C;42.4;-85.3728
1;33.2;52.5;6.5;158.9;Sensor B;42.4;-85.3728
3;30.9;58.2;6.5;104.8;Sensor D;42.4;-85.3728
